,Train_idx
0,364
1,967
2,1121
3,2032
4,1327
5,1126
6,459
7,2152
8,1685
9,86
10,1331
11,1336
12,38
13,675
14,2132
15,2435
16,2503
17,350
18,104
19,3
20,2291
21,525
22,480
23,1188
24,285
25,1733
26,361
27,2056
28,1096
29,1149
30,1443
31,781
32,1545
33,657
34,45
35,2426
36,1828
37,307
38,40
39,461
40,615
41,879
42,2196
43,1000
44,1893
45,75
46,1627
47,1293
48,883
49,1906
50,1565
51,2032
52,967
53,1401
54,350
55,1351
56,506
57,2282
58,830
59,1755
60,1044
61,958
62,1256
63,1642
64,268
65,337
66,1057
67,1076
68,2028
69,1076
70,581
71,2204
72,2071
73,1778
74,2352
75,1512
76,2472
77,457
78,1240
79,641
80,783
81,1320
82,1954
83,1647
84,134
85,1605
86,1361
87,158
88,2280
89,2533
90,1493
91,1900
92,1903
93,2155
94,1881
95,228
96,1086
97,1578
98,56
99,544
100,1332
101,2027
102,2320
103,2083
104,734
105,722
106,1957
107,2441
108,65
109,1966
110,1904
111,761
112,1586
113,197
114,2106
115,1536
116,652
117,2621
118,1614
119,2107
120,1333
121,2112
122,583
123,2062
124,22
125,221
126,145
127,973
128,824
129,1852
130,2426
131,1391
132,492
133,379
134,1486
135,1715
136,2449
137,2282
138,732
139,1788
140,2485
141,2455
142,2545
143,689
144,1459
145,2497
146,279
147,2080
148,1483
149,708
150,234
151,1078
152,559
153,833
154,1467
155,1532
156,2508
157,2461
158,824
159,1006
160,1345
161,1134
162,276
163,1174
164,1921
165,665
166,540
167,1927
168,1684
169,580
170,2058
171,467
172,1643
173,2163
174,461
175,525
176,1851
177,2515
178,1738
179,762
180,1707
181,430
182,1354
183,730
184,968
185,2311
186,1108
187,1696
188,1695
189,1733
190,2139
191,545
192,865
193,1771
194,2134
195,883
196,1868
197,2043
198,2305
199,1221
200,2390
201,887
202,1662
203,261
204,2332
205,553
206,1637
207,720
208,517
209,1923
210,1853
211,2451
212,1397
213,542
214,961
215,2019
216,1777
217,2327
218,525
219,1491
220,1963
221,1928
222,1714
223,1231
224,220
225,1634
226,2495
227,1062
228,2346
229,934
230,1374
231,2209
232,2198
233,308
234,2283
235,581
236,828
237,2201
238,1524
239,2323
240,1740
241,186
242,666
243,1879
244,804
245,1228
246,1826
247,2523
248,1253
249,538
250,2296
251,1018
252,2076
253,651
254,2252
255,27
256,2513
257,987
258,548
259,1207
260,542
261,2101
262,1955
263,2020
264,581
265,848
266,78
267,545
268,830
269,1264
270,2336
271,1355
272,1323
273,2079
274,1316
275,2012
276,1494
277,809
278,1592
279,63
280,1074
281,573
282,918
283,317
284,1574
285,367
286,2622
287,937
288,155
289,2113
290,1851
291,1721
292,1594
293,568
294,1870
295,1273
296,1503
297,489
298,1590
299,2280
300,1004
301,1463
302,1106
303,1878
304,1968
305,2489
306,1749
307,1927
308,998
309,1839
310,509
311,648
312,1614
313,2200
314,1282
315,1127
316,145
317,2199
318,594
319,746
320,2245
321,2496
322,1144
323,2184
324,1305
325,1505
326,550
327,2414
328,242
329,1930
330,882
331,1231
332,2440
333,390
334,347
335,813
336,2360
337,494
338,1344
339,224
340,2015
341,371
342,937
343,2310
344,1168
345,2463
346,1715
347,661
348,1462
349,2449
350,1253
351,1876
352,1497
353,229
354,1797
355,1479
356,2190
357,2479
358,2418
359,1594
360,965
361,2347
362,700
363,1407
364,28
365,2288
366,2333
367,1425
368,1626
369,1477
370,528
371,67
372,2550
373,1069
374,1184
375,436
376,418
377,270
378,1603
379,1356
380,2334
381,2561
382,2508
383,44
384,1042
385,92
386,2055
387,1344
388,1909
389,1726
390,1384
391,1145
392,1885
393,2489
394,2247
395,2477
396,2390
397,2226
398,654
399,2137
400,2617
401,2507
402,1482
403,614
404,297
405,2183
406,232
407,1078
408,831
409,48
410,2064
411,401
412,856
413,1432
414,1942
415,964
416,2157
417,2331
418,1651
419,628
420,469
421,895
422,1950
423,1839
424,680
425,1768
426,1947
427,2358
428,1208
429,861
430,997
431,1534
432,967
433,1735
434,665
435,2447
436,1111
437,420
438,1820
439,954
440,545
441,1717
442,544
443,2089
444,1636
445,2172
446,2483
447,1822
448,77
449,480
450,2178
451,1077
452,691
453,1772
454,1800
455,1767
456,110
457,354
458,1692
459,1466
460,1408
461,425
462,1343
463,225
464,1236
465,694
466,240
467,2554
468,1803
469,2427
470,1254
471,999
472,1921
473,1945
474,1559
475,1818
476,1914
477,944
478,301
479,775
480,1591
481,115
482,187
483,15
484,1626
485,2559
486,1783
487,465
488,697
489,1901
490,226
491,1771
492,2506
493,334
494,406
495,883
496,943
497,1648
498,2593
499,1768
500,1870
501,385
502,2150
503,427
504,798
505,139
506,64
507,1399
508,2409
509,2329
510,1410
511,167
512,756
513,244
514,1636
515,1485
516,16
517,2582
518,810
519,1674
520,641
521,1784
522,1608
523,2433
524,641
525,464
526,2227
527,2591
528,274
529,567
530,297
531,2459
532,2370
533,146
534,1315
535,884
536,1196
537,495
538,526
539,980
540,1631
541,235
542,906
543,1356
544,1446
545,2168
546,578
547,2171
548,785
549,315
550,1258
551,1249
552,1387
553,2110
554,1544
555,2
556,958
557,837
558,2141
559,868
560,653
561,95
562,2493
563,1871
564,1608
565,1947
566,930
567,1336
568,2158
569,300
570,2259
571,683
572,2459
573,521
574,2144
575,1915
576,394
577,1508
578,603
579,2440
580,2171
581,1569
582,1604
583,2334
584,1900
585,608
586,558
587,2373
588,233
589,133
590,870
591,2261
592,843
593,2326
594,1936
595,2158
596,11
597,1396
598,558
599,2439
600,138
601,258
602,2138
603,2237
604,445
605,659
606,1757
607,2162
608,1770
609,2561
610,542
611,649
612,1645
613,1206
614,166
615,1297
616,412
617,1826
618,604
619,1634
620,1907
621,2480
622,2049
623,1462
624,1753
625,1341
626,1718
627,219
628,2200
629,1936
630,643
631,844
632,2018
633,28
634,577
635,1050
636,2517
637,2077
638,2576
639,157
640,1692
641,1550
642,759
643,1639
644,354
645,1688
646,2457
647,556
648,2084
649,2180
650,405
651,1940
652,1483
653,2366
654,450
655,649
656,626
657,1802
658,1655
659,2508
660,2592
661,2229
662,2130
663,345
664,1232
665,1766
666,311
667,1579
668,281
669,1353
670,2104
671,2441
672,864
673,1315
674,672
675,1375
676,1598
677,1139
678,1917
679,1325
680,2058
681,600
682,469
683,717
684,601
685,528
686,1134
687,190
688,1763
689,254
690,1511
691,2
692,726
693,1734
694,1111
695,2042
696,1537
697,810
698,1838
699,728
700,1341
701,1905
702,1305
703,1187
704,640
705,2451
706,1982
707,2225
708,575
709,412
710,1617
711,1723
712,2409
713,1865
714,1806
715,2436
716,2481
717,1746
718,1295
719,1411
720,1635
721,1628
722,2134
723,594
724,905
725,2010
726,77
727,2344
728,1777
729,794
730,1758
731,1869
732,950
733,2341
734,1060
735,719
736,16
737,308
738,1937
739,2477
740,792
741,817
742,1307
743,664
744,1426
745,2282
746,500
747,1899
748,1372
749,535
750,1537
751,128
752,557
753,487
754,2594
755,993
756,2449
757,328
758,77
759,1805
760,410
761,1978
762,209
763,1063
764,1257
765,1281
766,272
767,716
768,2106
769,421
770,797
771,1910
772,1852
773,1137
774,2098
775,1105
776,1731
777,1480
778,109
779,2074
780,1211
781,1763
782,477
783,260
784,593
785,1164
786,335
787,1345
788,66
789,2042
790,2268
791,785
792,2374
793,73
794,676
795,2307
796,1062
797,2302
798,2270
799,204
800,35
801,840
802,915
803,2326
804,1041
805,43
806,1110
807,2275
