,Train_idx
0,1615
1,1416
2,2089
3,1782
4,2205
5,1468
6,997
7,145
8,267
9,655
10,1788
11,1209
12,1119
13,1774
14,1290
15,2233
16,509
17,863
18,1836
19,2434
20,2435
21,1812
22,1116
23,795
24,1759
25,1368
26,1400
27,952
28,1048
29,848
30,371
31,2153
32,1224
33,1037
34,300
35,2437
36,1601
37,1477
38,436
39,934
40,2154
41,2083
42,2596
43,359
44,774
45,1814
46,272
47,7
48,981
49,1191
50,2169
51,2018
52,68
53,2363
54,610
55,278
56,2443
57,1649
58,2406
59,2615
60,2282
61,627
62,1885
63,871
64,408
65,395
66,1216
67,2281
68,1291
69,2145
70,1074
71,143
72,665
73,73
74,404
75,462
76,1973
77,878
78,642
79,1537
80,349
81,1968
82,1662
83,990
84,211
85,2569
86,1197
87,1023
88,1186
89,43
90,1336
91,1507
92,354
93,1726
94,1500
95,48
96,131
97,321
98,1312
99,1954
100,1699
101,2289
102,2204
103,2215
104,739
105,785
106,141
107,464
108,103
109,1440
110,418
111,88
112,1760
113,1908
114,329
115,1919
116,1823
117,878
118,1315
119,316
120,1198
121,1113
122,579
123,571
124,2050
125,979
126,243
127,779
128,298
129,152
130,1940
131,1133
132,2618
133,525
134,66
135,516
136,693
137,900
138,1870
139,375
140,2226
141,95
142,185
143,2241
144,2474
145,1269
146,1866
147,1425
148,1982
149,528
150,307
151,1923
152,852
153,1834
154,480
155,1258
156,349
157,1904
158,2513
159,8
160,2229
161,2039
162,297
163,1905
164,615
165,111
166,1376
167,2173
168,2003
169,1953
170,1529
171,1239
172,1996
173,2077
174,1048
175,2160
176,1289
177,755
178,2336
179,1629
180,2601
181,1512
182,747
183,1306
184,1624
185,500
186,1395
187,1606
188,2073
189,2391
190,1019
191,138
192,792
193,696
194,2032
195,2266
196,2390
197,1635
198,2368
199,1550
200,2345
201,1466
202,734
203,1029
204,1280
205,2484
206,890
207,329
208,1222
209,311
210,1004
211,1669
212,327
213,2037
214,136
215,917
216,1334
217,1514
218,2042
219,1765
220,1567
221,1201
222,1153
223,2083
224,142
225,1775
226,537
227,1694
228,2123
229,928
230,873
231,2421
232,1190
233,2204
234,1258
235,372
236,1089
237,405
238,1931
239,1724
240,535
241,2217
242,2576
243,11
244,525
245,2405
246,1305
247,2479
248,1510
249,2071
250,2154
251,234
252,1381
253,1189
254,1798
255,6
256,772
257,952
258,777
259,731
260,841
261,445
262,451
263,477
264,817
265,1889
266,1126
267,2141
268,2529
269,1760
270,620
271,912
272,1747
273,1788
274,2385
275,1290
276,693
277,1063
278,1838
279,1773
280,1580
281,2571
282,1152
283,1393
284,2248
285,1319
286,1318
287,2383
288,2124
289,767
290,2618
291,2242
292,2602
293,513
294,1923
295,1555
296,2292
297,1441
298,224
299,475
300,1643
301,1096
302,1626
303,1842
304,1684
305,1041
306,377
307,1107
308,1108
309,469
310,2395
311,2122
312,479
313,2248
314,1225
315,111
316,2129
317,2581
318,1591
319,1302
320,1957
321,1933
322,1853
323,1693
324,2593
325,1798
326,832
327,1418
328,1562
329,1189
330,827
331,2516
332,2407
333,1060
334,1141
335,1623
336,1472
337,1682
338,997
339,1648
340,918
341,1453
342,1969
343,31
344,665
345,2505
346,1032
347,724
348,913
349,1983
350,1690
351,1989
352,737
353,569
354,2148
355,1192
356,262
357,2168
358,418
359,722
360,338
361,345
362,1728
363,931
364,357
365,900
366,1113
367,1637
368,2206
369,462
370,106
371,1846
372,1817
373,1771
374,2338
375,355
376,913
377,1042
378,2516
379,696
380,641
381,985
382,756
383,1854
384,1778
385,841
386,1459
387,580
388,2581
389,1003
390,2217
391,1017
392,1097
393,805
394,392
395,1893
396,1021
397,1428
398,1829
399,1309
400,1660
401,1754
402,137
403,999
404,1744
405,615
406,81
407,1773
408,97
409,847
410,309
411,952
412,2259
413,631
414,2052
415,270
416,2582
417,1610
418,996
419,1013
420,1051
421,1227
422,750
423,349
424,478
425,1344
426,903
427,122
428,2139
429,1659
430,2324
431,1504
432,284
433,579
434,2383
435,751
436,2537
437,2588
438,117
439,1569
440,1359
441,496
442,1219
443,775
444,988
445,891
446,794
447,1981
448,1170
449,2326
450,772
451,62
452,421
453,215
454,1106
455,1650
456,1203
457,51
458,2060
459,2282
460,2539
461,1214
462,1687
463,1504
464,2407
465,1048
466,896
467,575
468,519
469,1850
470,229
471,1188
472,659
473,1192
474,1491
475,2081
476,2340
477,1301
478,1514
479,293
480,1430
481,1088
482,1648
483,1217
484,944
485,2044
486,600
487,1258
488,2370
489,708
490,717
491,123
492,743
493,1217
494,1605
495,101
496,1144
497,1018
498,187
499,1262
500,449
501,2522
502,1761
503,302
504,2257
505,1119
506,1861
507,340
508,854
509,647
510,2304
511,312
512,2142
513,1869
514,913
515,88
516,218
517,1270
518,18
519,2356
520,700
521,1392
522,1694
523,1941
524,2513
525,1751
526,2145
527,1492
528,2089
529,1999
530,1803
531,1710
532,1786
533,1335
534,102
535,1677
536,85
537,262
538,1850
539,589
540,1520
541,1399
542,1596
543,1050
544,2458
545,845
546,1432
547,1774
548,407
549,1444
550,40
551,851
552,2103
553,2556
554,2541
555,63
556,977
557,2372
558,1571
559,140
560,601
561,169
562,1758
563,1980
564,881
565,2480
566,210
567,1631
568,1986
569,361
570,2126
571,212
572,1737
573,1152
574,2602
575,1127
576,1916
577,612
578,1276
579,1779
580,2596
581,1671
582,1033
583,1303
584,2387
585,43
586,217
587,513
588,1238
589,1917
590,222
591,2223
592,1926
593,387
594,1051
595,1834
596,1496
597,1996
598,2064
599,2119
600,541
601,360
602,2114
603,1298
604,627
605,1833
606,497
607,1708
608,1749
609,1307
610,1391
611,1262
612,2543
613,2052
614,1624
615,2617
616,1335
617,577
618,955
619,1203
620,1368
621,2029
622,1517
623,2094
624,625
625,688
626,1541
627,1259
628,1376
629,1824
630,1732
631,1662
632,1668
633,1176
634,2242
635,2299
636,1205
637,1169
638,1512
639,1024
640,184
641,793
642,779
643,2111
644,1743
645,195
646,2384
647,1026
648,761
649,2317
650,275
651,119
652,946
653,862
654,396
655,492
656,467
657,967
658,2345
659,290
660,2529
661,1218
662,2565
663,897
664,146
665,2331
666,2261
667,970
668,2039
669,2378
670,13
671,930
672,1446
673,2017
674,367
675,1089
676,1048
677,173
678,1075
679,786
680,994
681,1226
682,2519
683,22
684,1505
685,2082
686,2308
687,1121
688,760
689,448
690,2406
691,341
692,1133
693,1278
694,1704
695,1983
696,1302
697,2353
698,1253
699,973
700,720
701,1820
702,1283
703,1144
704,1236
705,1306
706,1305
707,2098
708,2050
709,2362
710,123
711,343
712,2516
713,1202
714,1838
715,1943
716,1138
717,1782
718,1220
719,1030
720,2365
721,1815
722,2142
723,961
724,1757
725,1735
726,43
727,2395
728,274
729,2282
730,1950
731,2270
732,1040
733,534
734,502
735,2442
736,548
737,302
738,542
739,1046
740,2118
741,1068
742,2155
743,2187
744,1303
745,1281
746,845
747,1731
748,601
749,1464
750,54
751,1920
752,1648
753,514
754,1200
755,1293
756,631
757,535
758,577
759,1652
760,616
761,2098
762,1379
763,938
764,1437
765,816
766,2359
767,1197
768,2370
769,79
770,1436
771,2515
772,1188
773,1613
774,1113
775,139
776,2537
