,Train_idx
0,1600
1,2487
2,211
3,17
4,1345
5,1589
6,2099
7,1456
8,664
9,2101
10,1789
11,1900
12,2307
13,1207
14,811
15,2563
16,864
17,2283
18,1492
19,241
20,1129
21,403
22,635
23,1732
24,2252
25,2013
26,85
27,2144
28,278
29,1886
30,1550
31,2262
32,2602
33,1504
34,1052
35,1619
36,1519
37,2533
38,259
39,25
40,397
41,195
42,1494
43,865
44,938
45,1948
46,1454
47,537
48,2517
49,2114
50,788
51,558
52,330
53,557
54,1172
55,435
56,2237
57,2560
58,1889
59,301
60,1271
61,1278
62,1729
63,361
64,991
65,1158
66,814
67,351
68,882
69,2436
70,2564
71,1342
72,873
73,1714
74,2580
75,791
76,1056
77,1454
78,2461
79,1858
80,1195
81,2127
82,1727
83,1687
84,11
85,363
86,1702
87,392
88,2611
89,765
90,1408
91,2259
92,1968
93,1496
94,107
95,1439
96,1383
97,1216
98,2513
99,2062
100,691
101,2311
102,577
103,2165
104,324
105,1201
106,1050
107,666
108,41
109,2137
110,2156
111,1462
112,1356
113,648
114,2024
115,1224
116,1750
117,2420
118,593
119,1717
120,276
121,2493
122,1832
123,893
124,1642
125,2332
126,2509
127,345
128,2036
129,164
130,1449
131,2060
132,160
133,1925
134,69
135,819
136,1773
137,1707
138,1253
139,1801
140,1360
141,2532
142,1567
143,1939
144,2426
145,2361
146,136
147,441
148,1511
149,1987
150,2015
151,295
152,132
153,2039
154,1125
155,789
156,354
157,893
158,611
159,51
160,1650
161,1740
162,68
163,2045
164,494
165,1985
166,1874
167,2163
168,1507
169,94
170,1779
171,984
172,2608
173,188
174,1950
175,960
176,59
177,1660
178,280
179,663
180,1659
181,2180
182,183
183,1773
184,1151
185,1607
186,2425
187,2580
188,1542
189,695
190,1898
191,2448
192,2546
193,1416
194,1607
195,2115
196,187
197,1366
198,550
199,1399
200,1289
201,803
202,28
203,1054
204,568
205,545
206,2225
207,2025
208,2235
209,789
210,717
211,244
212,2117
213,245
214,1048
215,957
216,467
217,2532
218,2370
219,327
220,1284
221,1417
222,483
223,1294
224,948
225,102
226,163
227,735
228,2126
229,1788
230,1918
231,2053
232,240
233,2481
234,621
235,427
236,1100
237,2229
238,119
239,1578
240,720
241,1761
242,1237
243,1189
244,1302
245,2343
246,1868
247,824
248,399
249,864
250,898
251,264
252,1416
253,1477
254,310
255,780
256,2044
257,92
258,847
259,1818
260,1124
261,2340
262,1876
263,1412
264,1938
265,634
266,1356
267,1892
268,160
269,705
270,1255
271,2012
272,305
273,2429
274,527
275,1935
276,2480
277,743
278,511
279,1552
280,1807
281,1068
282,831
283,2330
284,1003
285,974
286,2473
287,1967
288,1143
289,767
290,304
291,2255
292,211
293,2106
294,1585
295,2527
296,811
297,2289
298,763
299,2364
300,417
301,679
302,596
303,241
304,3
305,669
306,1324
307,1558
308,12
309,139
310,1463
311,1926
312,2153
313,1917
314,1042
315,707
316,635
317,97
318,248
319,1215
320,1990
321,785
322,849
323,201
324,2291
325,1150
326,448
327,77
328,556
329,2187
330,1568
331,2139
332,1115
333,398
334,2227
335,175
336,406
337,595
338,1707
339,1408
340,561
341,515
342,733
343,848
344,2536
345,616
346,1929
347,630
348,905
349,711
350,310
351,2120
352,350
353,811
354,492
355,1841
356,1054
357,1737
358,1204
359,2052
360,1896
361,1927
362,18
363,1878
364,968
365,201
366,1437
367,525
368,1568
369,1747
370,1284
371,1150
372,1324
373,1502
374,1435
375,1300
376,2111
377,1440
378,1857
379,1573
380,1486
381,1273
382,2218
383,375
384,1730
385,2252
386,1363
387,961
