,Train_idx
0,2533
1,437
2,1411
3,768
4,2237
5,1097
6,1499
7,1174
8,383
9,2168
10,1326
11,2451
12,432
13,1259
14,1230
15,2217
16,1658
17,306
18,2532
19,1118
20,2476
21,1213
22,106
23,1042
24,1198
25,1072
26,2585
27,821
28,2552
29,2154
30,923
31,6
32,1827
33,2228
34,47
35,1524
36,1011
37,646
38,434
39,1064
40,1206
41,2540
42,1208
43,1744
44,631
45,2498
46,808
47,2266
48,1846
49,845
50,2192
51,294
52,379
53,553
54,2416
55,1397
56,1731
57,543
58,1477
59,1956
60,1099
61,1066
62,401
63,1528
64,2412
65,783
66,1822
67,1809
68,2612
69,1859
70,841
71,1179
72,356
73,2109
74,2533
75,999
76,50
77,2301
78,768
79,590
80,960
81,2394
82,1621
83,2388
84,2233
85,510
86,2022
87,1899
88,1903
89,1269
90,1471
91,612
92,2487
93,686
94,2553
95,1942
96,738
97,267
98,181
99,508
100,744
101,563
102,1347
103,1973
104,1594
105,1228
106,1505
107,1078
108,323
109,1205
110,1837
111,1462
112,891
113,2522
114,664
115,471
116,1550
117,1648
118,2509
119,2540
120,2444
121,376
122,2421
123,1961
124,1614
125,551
126,739
127,824
128,2096
129,1904
130,742
131,462
132,1241
133,1290
134,667
135,458
136,721
137,1130
138,45
139,161
140,1942
141,1310
142,1013
143,2409
144,1888
145,393
146,95
147,2270
148,1473
149,145
150,1374
151,1052
152,2424
153,1805
154,2129
155,1463
156,1408
157,2107
158,962
159,1044
160,372
161,378
162,253
163,2000
164,1855
165,1274
166,956
167,1053
168,1175
169,2359
170,927
171,1161
172,2303
173,1708
174,2250
175,629
176,1525
177,17
178,2530
179,2286
180,1394
181,1950
182,270
183,1087
184,1297
185,601
186,2031
187,375
188,983
189,464
190,1554
191,2061
192,2233
193,2490
194,1069
195,628
196,1944
197,276
198,371
199,897
200,749
201,1429
202,2430
203,449
204,1399
205,321
206,1555
207,555
208,1800
209,629
210,738
211,1319
212,2238
213,2029
214,1618
215,593
216,2039
217,1715
218,1674
219,65
220,2396
221,728
222,1693
223,1849
224,378
225,554
226,1673
227,625
228,618
229,1841
230,1439
231,1608
232,1062
233,1270
234,2033
235,1952
236,1428
237,2119
238,2340
239,2339
240,453
241,1412
242,1079
243,571
244,85
245,2543
246,887
247,2349
248,1785
249,1320
250,1891
251,1749
252,753
253,393
254,1116
255,1173
256,968
257,939
258,699
259,1740
260,2260
261,275
262,1528
263,2596
264,33
265,2617
266,881
267,703
268,2607
269,178
270,919
271,2058
272,665
273,1041
274,265
275,2205
276,899
277,28
278,1332
279,843
280,135
281,132
282,468
283,248
284,2274
285,325
286,989
287,452
288,231
289,1456
290,1000
291,2128
292,541
293,1313
294,1939
295,1648
296,227
297,1562
298,2396
299,1627
300,1885
301,2365
302,897
303,665
304,1087
305,698
306,646
307,762
308,268
309,756
310,419
311,1310
312,1787
313,471
314,2550
315,642
316,1376
317,2195
318,2561
319,403
320,1922
321,136
322,463
323,680
324,126
325,139
326,2239
327,2427
328,2072
329,1134
330,1142
331,324
332,32
333,1725
334,1691
335,1227
336,1119
337,525
338,588
339,442
340,2316
341,2110
342,81
343,2205
344,2585
345,2422
346,229
347,1108
348,144
349,1453
350,874
351,1708
352,1199
353,941
354,1056
355,539
356,238
357,334
358,347
359,1551
360,2230
361,617
362,401
363,232
364,126
365,2249
366,1604
367,740
368,1629
369,471
370,1900
371,2372
372,1952
373,1695
374,399
375,2209
376,1922
377,1131
378,2368
379,487
380,2353
381,725
382,582
383,863
384,311
385,1809
386,685
387,1974
388,77
389,525
390,522
391,1877
392,2479
393,1046
394,333
395,37
396,2584
397,135
398,2119
399,1914
400,2201
401,1061
402,2399
403,1490
404,2392
405,869
406,529
407,2420
408,2379
409,2433
410,1378
411,1190
412,2215
413,1333
414,465
415,1221
416,1220
417,1976
418,1795
419,1932
420,146
421,2012
422,1688
423,2221
424,398
425,2438
426,1594
427,1583
428,1922
429,922
430,1462
431,496
432,1001
433,2455
434,1961
435,184
436,1848
437,2177
438,381
439,2101
440,133
441,2403
442,2474
443,2582
444,1389
445,1074
446,128
447,970
448,1035
449,469
450,1777
451,1791
452,1241
453,537
454,2497
455,389
456,955
457,1679
458,733
459,956
460,2385
461,1808
462,1746
463,1523
464,2549
465,454
466,1881
467,1231
468,1117
469,31
470,2148
471,2111
472,1013
473,316
474,325
475,1442
476,512
477,857
478,252
479,2134
480,1599
481,667
482,986
483,307
484,882
485,2451
486,2070
487,97
488,915
489,80
490,571
491,523
492,152
493,2498
494,1982
495,1
496,1016
497,380
498,1317
499,601
500,1964
501,187
502,1156
503,1552
504,1534
505,1079
506,1441
507,737
508,1764
509,555
510,2622
511,1768
512,180
513,421
514,2071
515,2287
516,2349
517,309
518,199
519,2599
520,232
521,2258
522,622
523,1676
524,1249
525,1428
526,2562
527,1388
528,1509
529,2603
530,2400
531,702
532,30
533,1129
534,497
535,1151
536,1052
537,984
538,954
539,1024
540,1937
541,1587
542,2525
543,699
544,1186
545,572
546,1751
547,2044
548,991
549,1584
550,1256
551,1030
552,897
553,258
554,552
555,1858
556,216
557,1351
558,2540
559,1016
560,2257
561,144
562,2504
563,1993
564,2377
565,841
566,1843
567,59
568,1514
569,1915
570,1939
571,1469
572,1207
573,955
574,16
575,2319
576,580
577,2357
578,1435
579,933
580,2011
581,659
582,2585
583,2533
584,1214
585,2191
586,167
587,280
588,2290
589,2287
590,410
591,532
592,1631
593,917
594,2417
595,1638
596,2302
597,1623
598,1508
599,1728
600,2381
601,2444
602,2540
603,1685
604,1253
605,294
606,34
607,1644
608,1633
609,1248
610,1824
611,2354
612,1105
613,2010
614,175
615,742
616,2161
617,1867
618,604
619,622
620,2146
621,830
622,131
623,1596
624,809
625,1408
626,651
627,1494
628,1487
629,1630
630,33
631,1672
632,7
633,1244
634,106
635,2535
636,625
637,1708
638,1618
639,681
640,2482
641,1982
642,1849
643,1834
644,1526
645,1157
646,585
647,1215
648,1915
649,2181
650,2261
651,268
652,1893
653,1547
654,33
655,1906
656,2617
657,401
658,1976
659,1081
660,1139
661,2110
662,1702
663,1
664,653
665,1796
666,1644
667,987
668,1290
669,989
670,2187
671,711
672,884
673,794
674,190
675,1018
676,1526
677,2393
678,1193
679,2222
680,2356
681,1362
682,1008
683,1808
684,1656
685,501
686,222
687,32
688,2225
689,2548
690,1945
691,2470
692,2015
693,19
694,1616
695,2506
696,2548
697,528
698,2330
699,1150
700,734
701,890
702,1007
703,1138
704,1294
705,712
706,2231
707,2264
708,1671
709,1791
710,1993
711,2119
712,794
713,1522
714,2338
715,166
716,867
717,1514
718,428
719,2477
720,475
721,1397
722,1509
723,1935
724,393
725,760
726,2485
727,2214
728,287
