,Train_idx
0,833
1,2324
2,198
3,1021
4,125
5,341
6,604
7,1749
8,153
9,1630
10,2578
11,972
12,1647
13,1195
14,2296
15,1963
16,2203
17,2262
18,898
19,1770
20,1636
21,1702
22,98
23,816
24,2408
25,44
26,583
27,2561
28,1536
29,1618
30,1312
31,630
32,2486
33,2049
34,1585
35,1542
36,2491
37,225
38,187
39,2097
40,332
41,500
42,1878
43,1660
44,1236
45,2016
46,1071
47,18
48,499
49,484
50,1484
51,599
52,114
53,700
54,2414
55,1535
56,1077
57,9
58,2084
59,619
60,914
61,784
62,1188
63,497
64,1403
65,1299
66,2434
67,1419
68,1877
69,1049
70,1071
71,256
72,2322
73,1263
74,2011
75,1955
76,1943
77,1330
78,715
79,834
80,369
81,2131
82,2326
83,1797
84,2102
85,1515
86,1191
87,974
88,1065
89,959
90,1987
91,126
92,1540
93,1704
94,1650
95,2014
96,2247
97,2149
98,1829
99,62
100,757
101,1690
102,592
103,1468
104,1201
105,2107
106,2095
107,491
108,1987
109,862
110,1482
111,1845
112,403
113,1502
114,1988
115,367
116,1296
117,1982
118,1409
119,1210
120,1241
121,2075
122,537
123,2090
124,561
125,2124
126,1271
127,1139
128,1760
129,1805
130,1152
131,1446
132,2396
133,2233
134,2030
135,809
136,2391
137,1315
138,519
139,1093
140,1997
141,2590
142,2365
143,1115
144,1027
145,694
146,1299
147,2104
148,1794
149,1010
150,1136
151,1687
152,975
153,1163
154,944
155,2188
156,656
157,1065
158,270
159,1417
160,1716
161,129
162,479
163,1485
164,1296
165,711
166,1644
167,1906
168,2080
169,80
170,1302
171,536
172,1423
173,901
174,1517
175,413
176,1827
177,1175
178,828
179,1668
180,576
181,342
182,957
183,936
184,1063
185,216
186,1539
187,1143
188,1467
189,1213
190,897
191,2294
192,2466
193,1664
194,2477
195,886
196,1703
197,1046
198,1243
199,2168
200,1224
201,639
202,647
203,1958
204,2248
205,111
206,1084
207,1581
208,1771
209,1697
210,1605
211,69
212,612
213,2214
214,1378
215,1987
216,1226
217,1830
218,2341
219,2422
220,2336
221,1640
222,651
223,2018
224,1571
225,79
226,1339
227,1253
228,918
229,1640
230,348
231,2052
232,534
233,1691
234,2038
235,665
236,1635
237,123
238,1337
239,1686
240,33
241,1704
242,1293
243,996
244,2396
245,1016
246,284
247,83
248,306
249,475
250,878
251,1579
252,749
253,2615
254,908
255,2028
256,1014
257,336
258,1376
259,113
260,841
261,536
262,471
263,2035
264,1725
265,432
266,2018
267,1724
268,706
269,1746
270,1544
271,178
272,1978
273,2295
274,2367
275,117
276,345
277,537
278,2034
279,1631
280,2444
281,2318
282,1902
283,942
284,1020
285,1211
286,728
287,363
288,1030
289,1795
290,931
291,2162
292,1325
293,1586
294,2570
295,335
296,1377
297,2050
298,388
299,671
300,488
301,2275
302,808
303,493
304,2411
305,62
306,2396
307,1501
308,957
309,1486
310,1828
311,1920
312,562
313,1905
314,1243
315,1251
316,2002
317,604
318,1012
319,1838
320,957
321,1571
322,476
323,530
324,31
325,1829
326,1805
327,2366
328,125
329,151
330,117
331,98
332,681
333,1920
334,2482
335,1514
336,1489
337,2327
338,60
339,2060
340,1156
341,1525
342,666
343,1130
344,246
345,229
346,1553
347,1721
